time,lyrics,size
0,,
15.54 ,忘れて来てあげたのよ 自分の傘は,
21.78 ,雨の日は寄り添って近づけるでしょ,
28.00 ,公園のチューリップも濡れて咲いてる,
34.25 ,このチャンス逃したら次はないかも,
39.48 ,くちびるは 喋るためじゃなく,
46.51 ,キミのためにキスするために咲いている,
52.74 ,Kiss me,
53.71 ,chu chu chu chu chu chu♡lip,
56.20 ,Kiss me,
57.12 ,chu chu chu chu chu♡lip,
59.33 ,はじまりはそっと,
61.91 ,素Kiss kiss kiss,
65.24 ,Kiss me,
66.106,chu chu chu chu chu chu♡lip,
68.691,Kiss me,
69.681,chu chu chu chu chu♡lip,
71.433,このあとはもっと,
74.345,skip skip skip,
76.755,…なんてね。,
77.933,,
89.333,くちびるは 喋るためじゃなく,
96.41,キミのためにキスするために咲いている,
102.587,Kiss me,
103.37,chu chu chu chu chu chu♡lip,
106.106,Kiss me,
107.042,chu chu chu chu chu♡lip,
109.266,はじまりはそっと,
111.794,素Kiss kiss kiss,
115.039,Kiss me,
115.955,chu chu chu chu chu chu♡lip,
118.53,Kiss me,
119.578,chu chu chu chu chu♡lip,
121.682,このあとはもっと,
124.281,skip skip skip,
126.62,…なんてね。,
128.238,,
