time,lyrics,size
0,,
2.083,ワンナイト・イリュージョン,
4.267,ようこそ新世界 !,
6.467,,
33.333,インビテーション　今宵は遊びましょう（あそびましょ ! ）,
37.467,ピュアな本能を解放して　It's showtime!,
42.367,テンプテーション　必死さも可愛いの（かわいいよ ! ）,
46.267,背伸びだって魅力でしょう　愛の歌,
51.25,変わらなければ　やがて朽ちてく,
55.7,忘れ去られたメリーゴーランドね,
60.15,泡沫の煌き　make you happy!,
63.017,ほーら　手を変え　品を変え,
66.367,Get up! 明日のSUPER ST@R!,
68.75,ワンナイト・イリュージョン,
70.933,絢爛七色　不可能さえも超えて　魅せるわ,
77.367,だから本気でイリュージョン,
79.95,魂燃やして　一度っきり　花盛り,
84.417,咲かせ　トゥナイト （ワンナイト・イリュージョン）,
88.717,（まだまだこれから）,
90.983,,
95.417,（ワンナイト・イリュージョン）,
97.55,（正夢に変えて　トゥナイト）,
102.083,,
113.75,───Have a good night♪,
115.7,,
