time,lyrics,size
0.000 ,,
3.917 ,女はみんなLie La Lie,
6.433 ,ほんの少し嘘つき,
9.083 ,持て余した感情に,
11.617 ,無意識の罪 For love,
18.467 ,,
28.083 ,Yes いちばん言いたい言葉は今,
38.750 ,No いちばん言えない言葉よ,
46.217 ,だからキミに,
49.200 ,Liar\n彼氏なんていないのに,
52.567 ,モテてるふりとか,
54.667 ,Liar\nペットボトル開けてって,
57.933,ヒリキなふりとか,
60.033,Liar\n相談したくて,
62.733,Liar\n悩んだふりとか,
65.433,Fire\nだって,
66.867,Fire\nだって,
68.233,Liar\n好きと言えなくて,
70.733,Truth\nもう一人の私,
73.800,もう恋してる証,
76.550,真実はね　偽りに隠れてるから,
82.067,女はみんな Lie La Lie,
84.600,プライドというワンピ着ている,
88.517,ダメダメ　裸の heart は,
93.917,まだまだ　見せられないわ,
102.117,,
108.350,Liar,
113.733,あと少しだけど,
124.183,,
