time,lyrics,size
0,,
7.45,誰よりも光れ !,
9.917,この世界 ただ一つの,
13.183,MY STAR,
17.483,"（3, 2, 1, Fight!）",
19.167,,
30.55,失敗したっていいさ,
36.033,挑戦しなくちゃ始まんない,
41.467,夢中になって ガムシャラ,
46.25,奏でようメロディ,
51.817,（見つけたい 見つけたい）,
54.45,青春全部かけたって,
57.467,（出会いたい 出会いたい）,
59.667,イイって思えるようなナニカ,
64.783,探してるよ いつでも,
69.85,（Starlight!）,
70.4,誰よりも光れ !,
73.233,この世界に刻みたい,
76.483,生きている証（Fight! Fight! Fight!）,
81.45,ゴールは無い世界,
84.217,妥協はしない,
87.033,走れ（走れ） 走れ（走れ）,
89.95,前を（前を） 向いて（向いて）,
92.717,走れ ! TO BE A STAR !,
97.267,"（3, 2, 1, Fight!）",
98.583,,
